ImageFileName    Left_Edge_Longitude    Right_Edge_Longitude   Top_Edge_Latitude      Bottom_Edge_Latitude
0/0.png:  -180.00000000000000  -177.18750000000000    85.05112877980663    84.80247372433449
0/1.png:  -180.00000000000000  -177.18750000000000    84.80247372433449    84.54136107313408
0/2.png:  -180.00000000000000  -177.18750000000000    84.54136107313408    84.26717240431667
0/3.png:  -180.00000000000000  -177.18750000000000    84.26717240431667    83.97925949886204
0/4.png:  -180.00000000000000  -177.18750000000000    83.97925949886204    83.67694304841552
0/5.png:  -180.00000000000000  -177.18750000000000    83.67694304841552    83.35951133035449
0/6.png:  -180.00000000000000  -177.18750000000000    83.35951133035449    83.02621885344844
0/7.png:  -180.00000000000000  -177.18750000000000    83.02621885344844    82.67628497834905
0/8.png:  -180.00000000000000  -177.18750000000000    82.67628497834905    82.30889251821552
0/9.png:  -180.00000000000000  -177.18750000000000    82.30889251821552    81.92318632602199
0/10.png:  -180.00000000000000  -177.18750000000000    81.92318632602199    81.51827187653380
0/11.png:  -180.00000000000000  -177.18750000000000    81.51827187653380    81.09321385260836
0/12.png:  -180.00000000000000  -177.18750000000000    81.09321385260836    80.64703474739616
0/13.png:  -180.00000000000000  -177.18750000000000    80.64703474739616    80.17871349622823
0/14.png:  -180.00000000000000  -177.18750000000000    80.17871349622823    79.68718415450822
0/15.png:  -180.00000000000000  -177.18750000000000    79.68718415450822    79.17133464081945
0/16.png:  -180.00000000000000  -177.18750000000000    79.17133464081945    78.63000556774837
0/17.png:  -180.00000000000000  -177.18750000000000    78.63000556774837    78.06198918665974
0/18.png:  -180.00000000000000  -177.18750000000000    78.06198918665974    77.46602847687329
0/19.png:  -180.00000000000000  -177.18750000000000    77.46602847687329    76.84081641443098
0/20.png:  -180.00000000000000  -177.18750000000000    76.84081641443098    76.18499546094714
0/21.png:  -180.00000000000000  -177.18750000000000    76.18499546094714    75.49715731893083
0/22.png:  -180.00000000000000  -177.18750000000000    75.49715731893083    74.77584300649234
0/23.png:  -180.00000000000000  -177.18750000000000    74.77584300649234    74.01954331150226
0/24.png:  -180.00000000000000  -177.18750000000000    74.01954331150226    73.22669969306126
0/25.png:  -180.00000000000000  -177.18750000000000    73.22669969306126    72.39570570653260
0/26.png:  -180.00000000000000  -177.18750000000000    72.39570570653260    71.52490903732816
0/27.png:  -180.00000000000000  -177.18750000000000    71.52490903732816    70.61261423801925
0/28.png:  -180.00000000000000  -177.18750000000000    70.61261423801925    69.65708627301174
0/29.png:  -180.00000000000000  -177.18750000000000    69.65708627301174    68.65655498475736
0/30.png:  -180.00000000000000  -177.18750000000000    68.65655498475736    67.60922060496381
0/31.png:  -180.00000000000000  -177.18750000000000    67.60922060496381    66.51326044311186
